2023-09-04,175663.53331200,176627.84432600,173567.39177600,175091.17499300,168010.90560000,168010.90560000
2023-09-03,175790.24678600,176915.63425000,174514.52130200,175663.53331200,116767.28620000,116767.28620000
2023-09-02,174942.98465900,176647.17350000,174824.86192900,175791.32062900,102145.94760000,102145.94760000
2023-09-01,176729.85941100,177670.54587900,172065.08541900,174941.91081600,302406.16860000,302406.16860000
2023-08-31,183114.92988900,185667.45470000,175036.40900000,176728.78556800,330518.26680000,330518.26680000
2023-08-30,185711.48226300,185874.70639900,181945.51486200,183114.92988900,202841.44020000,202841.44020000
2023-08-29,177514.83864400,187475.80631200,176110.25200000,185712.55610600,494371.08230000,494371.08230000
2023-08-28,178078.60621900,178723.98586200,174150.48852500,177514.83864400,214351.01430000,214351.01430000
2023-08-27,176865.16362900,178283.71023200,176788.92077600,178078.60621900,87789.91960000,87789.91960000
2023-08-26,177591.08149700,177784.37323700,176539.78920000,176866.23747200,79175.42500000,79175.42500000
2023-08-25,178382.50378800,180107.09564600,175628.09649300,177592.15534000,236261.68980000,236261.68980000
2023-08-24,180363.74412300,180767.50909100,175603.39810400,178382.50378800,231539.78050000,231539.78050000
2023-08-23,175573.33050000,182779.89087300,174934.39391500,180363.74412300,374761.10880000,374761.10880000
2023-08-22,179069.76330800,179265.20273400,169667.19400000,175572.25665700,402012.04500000,402012.04500000
2023-08-21,180967.24388900,181328.05513700,177119.66442000,179068.68946500,250835.15180000,250835.15180000
2023-08-20,179297.41802400,181989.54242500,178475.92812900,180968.31773200,195623.52630000,195623.52630000
2023-08-19,178429.75288000,182201.08949600,177646.92133300,179296.34418100,231919.04850000,231919.04850000
2023-08-18,180565.62660700,182488.87942000,176219.78398600,178428.67903700,538083.10180000,538083.10180000
2023-08-17,194130.41138300,194364.50915700,166445.66500000,180565.62660700,812138.21590000,812138.21590000
2023-08-16,196403.73701400,196676.49313600,193095.22673100,194130.41138300,205430.73680000,205430.73680000
2023-08-15,198177.72565000,198377.46044800,194795.12020000,196403.73701400,186081.69890000,186081.69890000
2023-08-14,197665.50253900,199358.95295000,197050.19050000,198177.72565000,150196.12030000,150196.12030000
2023-08-13,198654.51194200,199949.56660000,196997.57219300,197665.50253900,120674.13640000,120674.13640000
2023-08-12,198536.38921200,199091.56604300,198240.00854400,198653.43809900,63292.64760000,63292.64760000
2023-08-11,198926.19422100,199440.56501800,197377.71261500,198536.38921200,113209.31030000,113209.31030000
2023-08-10,199236.53484800,200373.73458500,198164.83953400,198926.19422100,127321.45530000,127321.45530000
2023-08-09,199337.47609000,201022.33575700,198261.48540400,199235.46100500,191926.83430000,191926.83430000
2023-08-08,196416.62313000,201507.71279300,196119.16861900,199337.47609000,236336.03000000,236336.03000000
2023-08-07,196543.33660400,198338.80210000,193506.50860000,196416.62313000,224092.90590000,224092.90590000
2023-08-06,197209.11926400,197434.62629400,196068.69799800,196543.33660400,90403.99150000,90403.99150000
2023-08-05,196539.04123200,197479.72770000,196244.80825000,197209.11926400,93657.32550000,93657.32550000
2023-08-04,197137.17178300,198801.62843300,194981.96888200,196537.96738900,187699.45520000,187699.45520000
